spa,guc
sostenganlo,pajapülü'üjapan
sostenganla,pajapülü'üjapan
sostengala,pajapülü'üjapan
sostenla,pajapülü'üjapan
sostenedla,pajapülü'üjapan
resista,katchin paa'in
resiste,katchin paa'in
agarra fuertemente,paapaa katchimaa
abraza a tom,pujuupajaa tom
estoy de acuerdo,oonooshi taya sümaa
de acuerdo,toonoo amaalü
me incline,ejepülaashi taya
dispare,ojutushi taya
me congele,asaamiajaashi taya
me hele,asaamiajaasha'anashi taya
me quede quieto,jimatüshi taya
me he mudado,akolojooshi taya
me mude,akolojooichipa taya
me traslade,alataashi taya
me he trasladado,alataaichipa taya
dormi,atunkuichipa taya
lo intente,to'ulaküin
ire,o'uneechi taya
soy tom,taya tom
estoy gordo,kaüseshi taya
soy gorda,kaüsesü taya
estoy en forma,ayatayüi taya
estoy afectado,sheewain taya
soy viejo,laülaaichi taya
soy timido,japüle'e taya
estoy mojada,chütsü taya
esta bien,anasü
soy yo,tayan
soy yo,tayan
unete a nosotros,jo'u wamaai pia
se parte nuestra,ee pia wamaa
guardalo,pünaajaan
pasa desapercibido,pülata sünain matüjaanin po'u
yo tambien,taya ya'asa
abre,piirulan
perfecto,anasha'anasü
empujala,pu'uta süchiki
empujalo,pu'uta nüchiki
empujadlo,pu'utapa nüchiki
empujadla,pu'utapa süchiki
empujelo,pu'utapa nüchiki
empujela,pu'utapa süchiki
empujenlo,pu'utapa nüchiki
empujenla,pu'utapa süchiki
nos vemos,e'rajiraajeena waya
muestramelo,pi'iyatan
ense amelo,pi'iyata tamüin
mostrame,pi'iyatapa tamüin
cierra la boca,püsürala piimata
cerra el pico,püsurala pi'ichi
saltatelo,puwatan
hasta la vista,meerü we'rajiraapa
hasta luego,o'unuichi taya
paralo,püshawale'eran
detenlo,püshawale'erapan
cogelo,paapan
decime,püküja tamüin
cuentame,püküja tamüin
tom comio,eküshi tom
tom corrio,awataashi tom
tom gano,akanashi tom
esperame despierto,pa'atapaja taya sünain katoin po'u
despierta,püchi'iraa
despiertate,püchi'iraapa
despertate,püchi'iraapa
despierta,püchi'iraa
lavate las manos,pu'lojo pajapü
nos preocupamos,mojusü waa'in
lo sabemos,watijaa o'ulu
perdimos,amuloishii waya
bienvenidos,antüshii jaya
bienvenidas,antüshii jaya
quien comio,jarai ekakai yaa
quien corria,jarai awataapu'ukai yaa
quien corrio,jarai awataakai yaa
quien gano,jarai akanajakai
quien ha ganado,jarai akanajakai yaa
por que no,jamüsü nnojooka'a
corre,puwataa
has ganado,akanajüshi pia
estoy gordo,kaüsüshi taya
estoy gorda,kaüsüsü taya
preguntales,püsakirairua
preguntales,püsakirairua
aparta,pükatalaa
retrocede,püle'ejira
apartate,pükatalaapa
se un hombre,toolo pia
se fuerte,katchin pia
se breve,püshapajaa
sea breve,püshapajaapa
sean breves,jashapajaapa
estate quieto,jimata pia
no te muevas,nnojolu pukutulaain
llamalo a tomas,paanajapa nümüin tomas
llamalo a tomas,paanajapa nümüin tomas
llamenlo a tomas,jeenajapa nümüin tomas
animate,pütütülaa
venga,jalaichi
calmate,piimalaa
esposale,kapü putuma
no te vayas,nnojolü pu'unuin
continua,mache'e pia süchiirua
encontralo a tomas,pünta nünain nümüin tomas
encuentralo a tomas,pünta nünain nümüin tomas
encuentrelo a tomas,pünta nünain nümüin tomas
encuentrenlo a tomas,pünta nünain nümüin tomas
encuentre a tom,pünta nünain tom
encuentren a tom,jünta nünain tom
arregla esto,pünaata tüü
vete de aqui,pu'una yaajee ye'yaa
largate,pu'unapa
largo,pu'una
vete ya,pu'unaleepa
ponte a ello,ee pia nanainmüin
abajo,mmolu'u
tumbate,pujuttapa
pierdete,mmoloi pia
vete de aqui,pu'una yaajee yaa
largate,pu'unapa
largo,pu'una
vete ya,pu'unaleepa
esfumate,mmoloi pia
despierta,pichi'iraa
piensalo bien,jalüja paa'in
abre los ojos,peerola po'uirua
adelante,pülata
adelante,pülata
entre,pülatapa
entra,pülatapa
entren,jalatapa
entra,pülatapa
entrad,pülatapa
subes,aliiküshi pia
buen trabajo,anasü pi'yataain
sujeta a tom,pajapülü'ü tom
agarralo,pütaülan
diviertanse,talatapa jaya
pasala bien,pülatira süka analu'ulu
pasenla bien,jalatira süka analu'ulu
el hablo,ashajaashi niakai
el lo intenta,nu'ulaküin
el prueba,nu'ulaküin she'ejü
ayuda a tom,piiwaaja tom
hola que hay,jamayaa kasa eekalü
ey chavales,jeirakaa jima'alii
que pasa troncos,kasa alatakaa malayaa
buenas,jamayaa
que tal os va,anayaashiije'e jaya
hola por aqui,jamayaa yaapünaa yaa
que encanto,anale'ejain
que tan profundo,keinotsü ma'ain
como de profundo,jamüsü shiinoluin
hazme el favor,paa'ira tamüin wanee analu'ulu
complaceme,poonoo tamaa
date prisa,puuntaa
apresurate,puuntaapa
apurese,puuntaapa
convine,anasü amünii
acepte,toonoo amaalü
accedi,taapa ekiirü
estoy viejo,laülaaichi taya
me lo comi,teküin
me la comi,teküin
puedo ir,eeshi süpüla to'unuin
maldije,to'ulejüin
despotrique,o'ulejashi taya
lo hice bien,anasü tatuma
lo hice,anasü tatuma
fracase,mojusü takuwa'ipa
lo olvide,mo'otüsü taa'in
me las arreglo,naajeerü tatuma
lo entiendo,tayaawata o'ulu
lo tengo,eesü tama'ana
salte,awatüshi taya
llame por telefono,enajüshi taya süka teleepana
me niego,ayoutajaashi taya
dimito,o'ulawaa
renuncio,nnojolüichipa taya sünainpünaa
me sente,aikalaashi taya
lo vi,te'erüin
suspire,tasanalüin taa'in
sonrei,akulemalaashi taya
me quede,makatüsü taya
hable,aashajaashi taya
hablaba,aashajaapu'ushi taya
charle,aashajaashi taya
charlaba,aashajaapu'ushi taya
yo lo uso,taa'inrajia
espere,ta'atapajüin
yo pagare,tawalaajeerü
he vuelto,ale'ejüshi taya
estoy de vuelta,ale'ejüichipa taya
soy calvo,moisalü tekii
estoy calvo,moisalü tekii
estoy calmado,eimalaashi taya
estoy tranquilo,jimatüshi taya
he terminado,ajalajaaichipa taya
estoy acabado,ajalajaashi taya
lo dejo,to'ulaain
soy bastante facilon,mapüleesha'anashi taya
soy justo,pansaasü takuwa'ipa
estoy perfectamente,anashaanashi taya
soy libre,taashishi taya
yo soy libre,taashishi taya
estoy lleno,emirashi taya
estoy llena,emirasü taya
ya me llene,emiraichipa taya
estoy aqui,anii taya
estoy en casa,anii taya miichipa'a
estoy herido,pasiruuashi taya
llego tarde,anteechi taya mapeena
soy vago,shokulashi taya
estoy perdida,amuloisü taya
soy malo,mojulaashi taya
me toca a mi,tayainjatü joolu'u
estoy perfectamente,anasha'anashi taya
soy pobre,müliashi taya
soy rica,washirü taya
soy rico,washit taya
estoy a salvo,isashi taya
estoy enferma,ayuuisü taya
soy delgado,pasanuashi taya
estoy limpio,wuleshi taya
soy fea,kashüülasü taya
estoy calentito,jaichonshi taya
estoy debil,nnojotsü taa'in
soy listo,yalayatshi taya
gane,akanajüshi taya
eso ayuda,eiwaajüsü ti'a
duele,aisü
funciona,a'yataasü
es tom,nia tom
es divertido,talata atumalü
es suyo,paainjain
es nuevo,jeketün
es extra o,waneejatsü
es viejo,laülaan
es rojo,ishosün
es triste,mojusü saa'in
prohibido pasar,pülasü alataa
no entrar,nnojolu pülatüin
besa a tomas,puusaja tomas
besa a tomas,puusaja tomas
besen a tomas,juusaja tomas
dejalo,pu'ulaa
dejame,pu'ulaa taya
dejanos,jo'ulaa waya
vamonos,jouya
vamos,jouya
orale,aishajaa
orale,aishajaa
cuidado,jalia
casate conmigo,kasaalü pia tamaa
puedo ir,eesü süpüla to'unuin
salva a tom,püso'ira naa'in tomaa
ella vino,antüsü
ella murio,outusü
ella corre,awataasü
sentate,püikalaa
sientate,püikalaapa
sentate,püikalaapa
sientate aqui,püikalaapa ye'eyaa
hable mas fuerte,metolu pünüiki
habla mas fuerte,metolu pünüiki
habla mas alto,metotsha'ana pünüiki
preparate,ee paa'in
un momento,jietta paala
parate,pütamaa
de pie,püshawalaa
no te muevas,nnojolu pukutulaain
deten a tom,pütala tom
llevate a tom,pümaa tom
diselo a tom,püküja nümüin tom
genial,anasü
orale,aishajaa
ellos ganaron,akanajüshii nayakana
tom vino,antüshi tom
tom ha muerto,anaajaashi tom
tom se cayo,ojutuushi tom
tom lo sabia,nütijoulu tom
tom tenia constancia de ello,nütijoulu tom eesü sujuya nüma'ana
tom se fue,o'unushi tom
tom mintio,küshi na'alain tom
tomas miente,küshi na'alain tomas
tom perdio,amuloishi tom
tom pago,awalaajüshi tom
tom renuncio,oulaashi tom
tom nado,katünashi tom
tom lloro,a'yalajüsü tom
tom se ha levantado,atamataashi tom
demasiado tarde,kama'aleesü ma'ain
confia en mi,poonoo tamaa
intentalo de veras,pu'ulakapa shiimüinsha'ana
prueba un poco,pu'ulaka palitchon
pruebe un poco,pu'ulaka palitchon
prueben un poco,joulaka palitchon
prueben esto,joulaka tüü
proba esto,pu'ulakapa tüü
prueba esto,pu'ulakapa tüü
usa esto,pa'ata tüü
avisale a tom,paapira tom
avisele a tom,paapira tom
avisenle a tom,jaapirapa tom
avisale a tom,paapira tom
mirame,piirakaa tamüin
vigilame,pi'raja to'u
observame,pünanaja taya
observalos,pünanajairua
observanos,pünanaja waya
estamos de acuerdo,oonooshii waya pümaa
lo intentamos,woulaküin
iremos,ouneena waya
estamos bien,anashii waya
para que,jamüinjatün
que divertido,talata atumalün ma'ain
quien soy yo,jarai taya yaa
quien vino,jarai antakai yaa
quien murio,jarai anaajaakai yaa
quien se callo,jarai koutakai yaa
quien se cayo,jarai ajutuukai yaa
quien perdio,jarai moloikai yaa
quien pago,jarai awalaajakai yaa
quien se ha ido,jarai ounakai yaa
quien lo ha dejado,jarai apütakai nia yaa
quien nado,jarai katünakai yaa
quien es el,jarai nia yaa
escribeme,püshaja tamüin
perdiste,amuloishi pia
has perdido,amuloichipa pia
perdisteis,amuloishi pia
habeis perdido,amuloichipa pia
perdio usted,amuloishi pia
ha perdido usted,amuloichipa pia
perdieron ustedes,amuloishii jaya
han perdido ustedes,amuloishiinna jaya
despues de ti,püchikijee
tu primero,piakai palajanaa
usted primero,piakai palajanaa
despues de usted,püchikijee piakai
despues de vosotras,jachikijee jayakana
apunta fuego,pu'ulaka pujuta
respondeme,püsokuta tamüin
respondedme,püsokuta tamüin
respondanme,püsokuta tamüin
los pajaros vuelan,katünashii wuchiikana
jesus,jesuu
llama a casa,peenaja miichipa'amüin
calmate,piimalaa
tranquilizate,piimalaa paa'in
ponte en paz,ana pia
tomatelo con soda,püsa süma soota
baja un cambio,püshakata wanee sü'wanajaaya
podemos ir,eeshii süpüla wounuin
podemos irnos,eeshii süpüla wounuin
podemos marcharnos,eeshii süpüla wounuin
atrapelo a tomas,jataüla nümüin tomas
capturalo,pütaülapa
capturenlo,jataülapa
atrapenlo,jataülapa
atrapalo,pütaülan
vuelve,püle'eja
veni,jalaichi
ven,jalai
venid aqui,jalaichi yaamüin yaa
ven a casa,jalaichi miichipa'amüin
venid aqui,jalaichi yaamüin yaa
vente,jalaichi
venios,jalaichi
venga aqui,jalaichi yaamüin yaa
vuelve pronto,püle'eja maalü
yo gane,akanashi taya
gane,akanashi taya
hazlo ahora,paa'ira joolu'un
los perros ladran,ootüshii etkana
no preguntes,nnojolü pusakirün
no llores,nnojolü pi'yalajüin
no llores,nnojolü pi'yalajüin
no llores,nnojolü pi'yalajüin
no lloren,nnojolü ja'yalajüin
no lloreis,nnojolü pi'yalajüin
no llore,nnojolü pi'yalajüin
no llores,nnojolü pi'yalajüin
no te mueras,nnojolü outüin pia
no mintais,nnojolü püküjain pa'alain
no corras,nnojolü püwataain
fantastico,anasü ma'ain
es estupendo,anasha'anasü ma'ain
orale,aishajaa
tienta esto,pu'ulaka tüü
tiente esto,pu'ulaka tüü
tienten esto,joulakapa tüü
tentad esto,pu'ulakapa tüü
tenta esto,pu'ulakapa tüü
sigueme,pu'una tachiirua
seguidme,pu'una tachiirua
siguenos,jo'una wachiirua
dejalo,pu'ulan
olvidame,mo'oto taya paa'in
olvidate de mi,mo'oto paa'in taya
olvidenme,mo'oto taya paa'in
olvidense de mi,mo'oto jaa'in taya
preparaos,yapa jaya
ve a por ello,pu'una nanaimüin
ve a cogerlo,pu'una paapaaiwan
ve a por ello,pu'una nanaimüin
vete a por ello,pu'unapa nanaimüin
id a por ello,pi'irajaapairua
entra,pülata
vete a la cama,pujurelaa so'u kaamakalü
cogelo,paapaan
agarra esto,paapaa tüü
coge alguno,paapaa wanee kasa
toma algo,paapaa wanee kasa
tome alguno,paapaa wanee kasa
el es viejo,laülaa niakai
el es anciano,laülaa ma'ain niakai
el se afeito,ajuijashi niakai
sonrio,akulemalaashi
el es dj,niakai nia dj
el es veloz,kaalapüshi niakai
el es bueno,anashi niakai
el es rico,washirü niakai
es rico,washirün
aca estoy,anii taya
sosten esto,pajapülüü tüü
que horror,kashüürale'eja
que raro,pounuasün
como esta tom,jamüshi tom
divierte a tom,pütalete'era naa'in tom
estoy lleno,emirashi taya
estoy llena,emirasü taya
soy bueno,anashi taya
estoy enferma,ayuusü taya
estoy saludable,anashi taya
te lo ruego,tachuntüin pümüin
te lo suplico,tachuntasha'anain pümüin
eructe,einaashi taya
puedo volar,eeshi süpüla tawatüin
puedo correr,eeshi süpüla tawataain
se correr,atijashi taya awatawaa
se esquiar,atijashi taya ayottaa
senti vergüenza,japüiwaa
exhale,ajutaa süjoutaise
perdi la consciencia,maa'isai taya
quede inconsciente,maa'ipünaashi taya
lo deje,to'ulaain
me rendi,ayamütchi taya
tire la toalla,tojutüi taanala
cedi,tayumulüin
te entiendo,tano'utüin pümüin
te pillo,tano'utüin pia
ya te pillo,tano'utüipa pümüin
lo dejo,to'ulaain
me dieron,aapünüsü tamüin
me alcanzaron,asawajünüshi taya
lo odio,kanainshi taa'in
me la seca,poosojo tamüin
me la baja,püshakatira tamüin
golpee a tom,ta'yaatüichipa tom
golpeo a tom,ta'yaatüin tom
eso espero,shia ta'atapajakaa ti'a
me arrodille,tasapainkashi taya
me arrodillaba,tasapainkapu'ushi taya
lo sabia,tatijo'ulu
me rei,asirajüshi taya
me gusta,kamalainsü tamüin
lo adoro,aishi tapüla
me encanta,kamalainsha'anasü tamüin
hablo en serio,taküjüin shiimüinkaa
lo digo en serio,tamüsü shiimüinkaa
hablo en serio,taküjüin shiimüinkaa
lo echo en falta,isasü taa'in nünain
lo echo de menos,tasukajaai
lo a oro,tasukajaai
lo necesito,cho'ujaashi tamüin
vi a tom,te'erüin tom
le vi,te'erüin
lo vi,te'erüin
vi uno,te'erüin wanee
vi a uno,te'erüin wanee
veia a uno,te'erapu'ui wanee
te vi,te'erüin pia
te he visto,te'erüshi pia
veo a tom,te'erüin tom
me tropece,ko'ikiishi taya
estuve triste,mojusüinka taa'in
yo cocinare,a'lakajaajeechi taya
yo guisare,akisaawajeechi taya
vivire,kateechi o'u taya
cantare,ee'irajeechi taya
parare,asha'laajeechi taya
lo dejare,toulaajeerün
esperare,a'atapajeechi taya
aguardare,a'atapajeechi taya
caminare,waraiteechi taya
andare,waraiteechi taya
voy a trabajar,a'yataajeechi taya
soy un hombre,toolo taya
soy un pro,atijashi taya
estoy solo,temiiwa'ashi taya
estoy sola,temiiwa'asü taya
yo estoy solo,temiiwa'ashi taya
yo estoy sola,temiiwa'asü taya
estoy enojado,jashichishi taya
estoy enojada,jashichisü taya
estoy despierto,katüsü to'u
soy ciega,mo'upa'asalü taya
estoy sin dinero,mannetseshi taya
estoy quebrado,amuloishi taya
estoy sin blanca,makasuutainsai taya
no tengo blanca,nnojotsü kasuutolu tama'ana
estoy loco,mamainashi taya
estoy borracho,epetchi taya
estoy tomada,a'yajüsü taya
estoy prendida,epetsü taya
me estoy muriendo,ajalajüsü taa'in
soy el primero,palajachi taya tayakai
voy el primero,o'uneechi taya palajanaa
me toca primero,palajanaainchi taya
yo voy primero,o'uneechi taya palajanaa
soy feliz,talatüshi taya
estoy feliz,talatüshi taya
soy amado,aishi apülaa taya
soy amada,aisü apülaa taya
soy obeso,kaüsesha'anashi taya
estoy listo,yapashi taya
estoy listo,yapashi taya
lo siento,taa'inmaasün
yo estoy cansado,mapüsashi taya
yo estoy cansada,mapüsasü taya
soy tuyo,paajüin taya
soy tuya,paajüin taya
soy suyo,paajüin taya
he perdido,amuloishi taya
olvidalo,mo'oto paa'in taya
no hagas caso,nnojolü poonoin
esta bien tom,anashi tom
esta tom,na'aya tom
es grave,mayensün
es malo,mojusün
esta lejos,wattasün
eres tu,pia piakai
se quemo,jotusu
no lo consiguio,nnojotsü tantüin anain
fallo,otchejaasü
fracaso,mojusu sükuwa'ipa
diluviaba,juya meimalaainsalü
llovio,e'itüsü juya
nevo,kojojolosü jemiakalü
apesta,jawaisü
funciono,achuwalaasü
son las,müi oorakalü
es un televisor,wanee telewisoorü
hace frio,aisü jemiaikalü
esta frio,saamatüsü
esta frio,saamatüsü
esta fresco,jemiasü
esta oscuro,piyuushesü
esta listo,ajattüsü
esta perfecto,anasü ma'ain
esta bien,anasü
es bueno,anasü
esta aqui,anii ye'eyaa
es de ella,saajüi shiakalü
es tarde,wattai ka'ikaa
es mio,taajüin
es mia,taajüin
es agradable,jemetüsü
hace buen tiempo,kaka'liairü
vale,kajutusü
esta bien,anasü
es nuestro,waajüin
es la nuestra,shia waajüinkalü
se termino,ajalajaasü
se acabo,ajattüsü
ha llegado el momento,antüsü süka'lia
es la hora,shia oorakalü
es el momento,shia süka'lia
ha llegado la hora,antüipa sü'oorainkalü
es verdad,shiimüinya
es verdad,shiimüinya
es mi trabajo,ta'ayataai
guardalos,pünaajaairua
quedatelos,paapaapa pümüin
guardenselos,jaapaapa jamüin
guarda esto,pünaajaa tüü
guarde esto,pünaajaa tüü
guarda esto,pünaajaa tüü
guardad esto,pünaajaa tüü
guarden esto,janaajaa tüü
mantente caliente,tutta pia
mantengase caliente,tutta pia waneepia
mantenete caliente,tutta pia waneepia
mantenete abrigado,ko'oyoo pia waneepia
mantente abrigado,ko'oyoo pia waneepia
mantengase abrigado,ko'oyoo pia waneepia
mantenganse calientes,tutta jaya waneepia
mantenganse abrigados,ko'oyoo jaya waneepia
dejalo a tomas,püpüta nüpüla tomas
dejalo a tomas,püpüta nüpüla tomas
dejelo a tomas,püpüta nüpüla tomas
ahora marchate,pu'una joolu'u
ahora vete,pu'unapa joolu'u
ahora largate,pu'una mmataka
dejame marchar,pu'ulaa to'unai
sueltame,püjuta tachiki
dejeme ir,pu'ulaa to'unai
dejeme ir,pu'ulaa to'unai
dejame entrar,pu'ulaa tottaai
dejeme entrar,pu'ulaa tottaai
dejanos entrar,pu'ulaa wottaai
comamos,jo'u wekaai
veamos,we'eraiwa
intentemoslo,woulakaiwa
tumbate en silencio,pujutta manüliole
mantente quieto en el suelo,jimata pia mmolu'u
escucha,paapaja
mira para otro lado,piirakaa waneemüin sa'ata
mira para otro lado,piirakaa waneemüin sa'ata
mire para otro lado,piirakaa waneemüin sa'ata
miren para otro lado,jeirakaa waneemüin sa'ata
mira hacia atras,piirakaa püchiiruamüin
mira atras,piirakaa achiirua
mire atras,piirakaa achiirua
mirad atras,piirakaa achiirua
mira aqui,piirakaa ye'eyaa
mirad aqui,piirakaa ye'eyaa
miren aqui,jeirakaa ye'eyaa
aflojalo,paawalan
sueltalo,püjüta nüchiki
sueltala,püjüta süchiki
aflojala,paawalan
hazte a un lado,püsünnaa
deja sitio,püpüta süchikanain
mueve el culo,püliata piiyou
deja pasar,pu'ulaa sülatüi
buen tiro,anasü pujunain
por supuesto,atumaayaa
disparad,pujuta
fuego a discrecion,ajutaa eimalawaa
perdona,mo'oto paa'in
por favor ve,kamanee pia pu'una
por favor vete,kamanee pia pu'una
por favor marchate,kamanee maa pia pu'unapa
por favor vayase,kamanee maa pia pu'unapa
pontelo,pa'ata pünain
pongaselo,pa'atapa pünain
poneoslo,pa'atapa pünain
ponganselo,ja'atapa janain
lee esto,paashaje'era tüü
lea esto,paashaje'era tüü
lean esto,jaashaje'era tüü
leed esto,paashaje'era tüü
deci hola,püma jamayaa
a mi que me registren,anakaja'a tasanaanüin
vease arriba,sünalaana iipünaa
vease mas arriba,sünalaana iipünaasha'ana
a por el,aa nümüin niaka
cogedlo,paapaa
arrestadlo,püpüreesajapan
prendedlo,püpüreesajapan
capturadlo,pütaülapan
en serio,shiimüin
ella lo intento,su'ulaküin shiakalü
ella lo probo,su'ulaküin shiakalü
ella anda,eesü shiakalü
ella camina,waraitüsü shiakaa
anda,pu'una
ella es candente,jorottüsü ma'ain shiakalü
esta como un tren,müsü saa'in wanee türen
esta buena,anasü
esta que cruje,müsü saa'in keireeka shia
firme aqui,pejeetta ye'eyaa
firma esto,pejetta tüü
firme esto,pejetta tüü
firmen esto,jejetta tüü
firma esto,pejeetta tüü
firmad esto,pejeetta tüü
sientate y no te muevas,püikalaa jee nnojolü pukutalaain
sientate y quedate quieto,püikalaa jee jimata pia
sentate ahi,puikalaa ye'eyaa
tu mantente,waneepia pia
quieto,jimata pia
mas despacio,jayatta'a ma'in
fuera,pujuita
alejate,pu'una
manten la calma,piimalaa
mantene la calma,piimalaa paa'in
quedate aca,yaashi pia yaa
quedate en casa,yaashi pia miichipa'a
mantente delgado,aürala pia
da un paso atras,püle'ejira pukua
para aqui,püshawalaa ye'eyaa
parate aqui,püshawalaa ye'eyaa
detente aqui,püshawalaa ye'eyaa
detengase aqui,jashawalaa ye'eyaa
detenganse aqui,jashawalaa ye'eyaa
paraos aqui,püshawalaa ye'eyaa
parad aqui,püshawalaa ye'eyaa
para eso,püshawale'era türa
detenlos,jashawale'eran
parales,püshawale'era napüla
cuidate,paa'inmajaa
te cuidas,paa'inmajaapa
cuidate,paa'inmajaa
cuidaos,jaa'inmajaa
coge el mio,paapaa taajüinkai
toma el mio,paapaa taajüinkai
asume el mando,shikiipu'u pia
toma el control,shikiikuwa'ipa pia
encargate tu,pia shikiipu'ukai
toma esto,paapaa tüü
tome esto,paapaa tüü
tomen esto,jaapaa tüü
toma esto,paapaa tüü
gracias,anayaawatsüja'a
gracias a ti,anayaawatsüja'a pümüin
gracias,anayaawatsüja'a
eso es,shia ti'a
soy yo,taya tayakai
ese soy yo,taya'aya tayakai
entonces que,jamaka shia
cayeron,ajutuushii
se fueron,o'unushiin
se marcharon,o'unushii
se iban,o'unajaniaa
perdieron,amuloishiin
tom se inclino,apooliraashi tom
tom se preocupo,mojusü naa'in tom
tom se preocupaba,mojupu'usü naa'in tom
a tom le importaba,aipu'usü nüpüla tom
tom se preocupa,mojupu'usü naa'in tom
a tom le importa,aipu'usü nüpüla tom
tom lloro,a'yalajüshi tom
tom dormito,alepütchi tom
tomas condujo,achupeerajüshi tomas
tom esta bien,anashi tom
tom esta dentro,paülü'üshi tom
tom esta levantado,atamaaichipa tom
tom teje,e'inashi tom
tom sabe,atijashi tom
tom se mudo,akolojooshi tom
tom se movio,akutulaashi tom
tom se mece,ayuunajaashi tom
tom se quedo,makatüshi tom
tom nada,katünashi tom
